name,vendor,price,category_id,url,picture,availability
Отвод 45° двухраструбный 160mm,Aquaviva,2573,179,https://aquapolis.ru/otvod-45-dvuhrastrubnyj-160mm.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/placeholder/default/aq_box.jpg,false
Отвод 90° двухраструбный 110mm,Aquaviva,1361,179,https://aquapolis.ru/otvod-90-dvuhrastrubnyj-110mm.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/placeholder/default/aq_box.jpg,true
Отвод 90° двухраструбный 160mm,Aquaviva,2993,179,https://aquapolis.ru/otvod-90-dvuhrastrubnyj-160mm.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/placeholder/default/aq_box.jpg,true
Патрубок гладкий с ПВХ фланцем 110mm,Aquaviva,1312,179,https://aquapolis.ru/patrubok-gladkij-s-pvh-flancem-110mm.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/placeholder/default/aq_box.jpg,true
Патрубок гладкий с ПВХ фланцем 160mm,Aquaviva,2100,179,https://aquapolis.ru/patrubok-gladkij-s-pvh-flancem-160mm.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/placeholder/default/aq_box.jpg,false
Патрубок переходной двухраструбный 160*110mm,Aquaviva,3150,179,https://aquapolis.ru/patrubok-perehodnoj-dvuhrastrubnyj-160-110mm.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/p/f/pf_patrub_perehod_2.jpg,true
Патрубок раструбный с ПВХ фланцем 110mm,Aquaviva,1524,179,https://aquapolis.ru/patrubok-rastrubnyj-s-pvh-flancem-110mm.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/placeholder/default/aq_box.jpg,true
Патрубок раструбный с ПВХ фланцем 160mm,Aquaviva,2273,179,https://aquapolis.ru/patrubok-rastrubnyj-s-pvh-flancem-160mm.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/placeholder/default/aq_box.jpg,true
Тройник 90° раструбный 110mm,Aquaviva,3528,179,https://aquapolis.ru/trojnik-90-rastrubnyj-110mm.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/placeholder/default/aq_box.jpg,true
Тройник 90° раструбный 160mm,Aquaviva,6930,179,https://aquapolis.ru/trojnik-90-rastrubnyj-160mm.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/placeholder/default/aq_box.jpg,true
Тройник 90° раструбный переходной 160*110mm,Aquaviva,6552,179,https://aquapolis.ru/trojnik-90-rastrubnyj-perehodnoj-160-110mm.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/p/f/pf_troy_perehod.jpg,false
Тройник 90° раструбный переходной с ПВХ фланцем 160*110mm,Aquaviva,4765,179,https://aquapolis.ru/trojnik-90-rastrubnyj-perehodnoj-s-pvh-flancem-160-110mm.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/p/f/pf_troy_perehod_flang.jpg,false
